timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2024-03-07T08:38:14,codecarbon,,0.3887865543365478,1.9710467183503944e-06,5.06973992892816e-06,22.5,0.3774670047202461,5.951585769653321,2.429915964603424e-06,4.0555588e-08,6.229094882144182e-07,3.0933810408178422e-06,India,IND,maharashtra,,,Windows-11-10.0.22631-SP0,3.12.2,2.3.4,8,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,1,1 x NVIDIA GeForce GTX 1650,73.0656,19.0565,15.870895385742188,machine,N,1.0
2024-03-07T08:38:39,codecarbon,,0.4107453823089599,2.047589374536751e-06,4.985057562976005e-06,22.5,0.0,5.951585769653321,2.5609135627746584e-06,0.0,6.525943117992484e-07,3.213507874573907e-06,India,IND,maharashtra,,,Windows-11-10.0.22631-SP0,3.12.2,2.3.4,8,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,1,1 x NVIDIA GeForce GTX 1650,73.0656,19.0565,15.870895385742188,machine,N,1.0
2024-03-07T08:40:04,codecarbon,,0.4361052513122558,2.1761090560840744e-06,4.989871251346061e-06,22.5,0.0,5.951585769653321,2.725657820701599e-06,0.0,6.895501671010607e-07,3.41520798780266e-06,India,IND,maharashtra,,,Windows-11-10.0.22631-SP0,3.12.2,2.3.4,8,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,1,1 x NVIDIA GeForce GTX 1650,73.0656,19.0565,15.870895385742188,machine,N,1.0
2024-03-07T08:40:53,codecarbon,,0.534247875213623,2.7231858107227423e-06,5.097232833418113e-06,22.5,0.4594505677751297,5.951585769653321,3.339049220085144e-06,6.805561e-08,8.666910566830667e-07,4.273795886768211e-06,India,IND,maharashtra,,,Windows-11-10.0.22631-SP0,3.12.2,2.3.4,8,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,1,1 x NVIDIA GeForce GTX 1650,73.0656,19.0565,15.870895385742188,machine,N,1.0
2024-03-07T08:41:06,codecarbon,,0.4309010505676269,2.153073831159388e-06,4.996678073360783e-06,22.5,0.0,5.951585769653321,2.693131566047668e-06,0.0,6.85924702270313e-07,3.379056268317981e-06,India,IND,maharashtra,,,Windows-11-10.0.22631-SP0,3.12.2,2.3.4,8,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,1,1 x NVIDIA GeForce GTX 1650,73.0656,19.0565,15.870895385742188,machine,N,1.0
2024-03-07T08:41:54,codecarbon,,0.395961046218872,1.983447578747415e-06,5.009198752472842e-06,22.5,0.0,5.951585769653321,2.4747565388679505e-06,0.0,6.380865401069968e-07,3.1128430789749475e-06,India,IND,maharashtra,,,Windows-11-10.0.22631-SP0,3.12.2,2.3.4,8,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,1,1 x NVIDIA GeForce GTX 1650,73.0656,19.0565,15.870895385742188,machine,N,1.0
2024-03-07T08:41:58,codecarbon,,0.0155355930328369,2.44691352301453e-10,1.5750370892457045e-08,22.5,0.0,5.951585769653321,9.70974564552307e-08,0.0,5.834325986597833e-09,1.0293178244182853e-07,Canada,CAN,quebec,,,Windows-11-10.0.22631-SP0,3.12.2,2.3.4,8,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,1,1 x NVIDIA GeForce GTX 1650,-71.2,46.8,15.870895385742188,machine,N,1.0
2024-03-07T08:41:58,codecarbon,,0.5126526355743408,2.601715759867589e-06,5.0750070892599725e-06,22.5,0.3439613219844147,5.951585769653321,3.20407897233963e-06,4.888892800000001e-08,8.301916362881912e-07,4.0831595366278216e-06,India,IND,maharashtra,,,Windows-11-10.0.22631-SP0,3.12.2,2.3.4,8,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,1,1 x NVIDIA GeForce GTX 1650,73.0656,19.0565,15.870895385742188,machine,N,1.0
2024-03-07T08:42:31,codecarbon,,0.394010066986084,1.973591968619625e-06,5.008988688325394e-06,22.5,0.0,5.951585769653321,2.4625629186630247e-06,0.0,6.348126641682939e-07,3.0973755828313187e-06,India,IND,maharashtra,,,Windows-11-10.0.22631-SP0,3.12.2,2.3.4,8,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,1,1 x NVIDIA GeForce GTX 1650,73.0656,19.0565,15.870895385742188,machine,N,1.0
2024-03-07T08:42:38,codecarbon,,3.5137178897857666,1.727398516130892e-05,4.91615596446251e-06,22.5,0.0102603493157311,5.951585769653321,2.196073681116104e-05,8.888896000000001e-09,5.140344695814747e-06,2.710997040297579e-05,India,IND,maharashtra,,,Windows-11-10.0.22631-SP0,3.12.2,2.3.4,8,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,1,1 x NVIDIA GeForce GTX 1650,73.0656,19.0565,15.870895385742188,machine,N,1.0
